what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1329412047875
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1329412047875
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1329412047876
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1329412047894
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329412047908
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1329412047913
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329412047921
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329412047921
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1329412047922
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329412047932
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329412047947
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1329412047951
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329412047957
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329412047959
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329412047970
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329412047973
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329412047974
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329412048063
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329412048073
os,sysinfo,,,"linux",1329412048077
arch,sysinfo,,,"x86",1329412048077
ws,sysinfo,,,"gtk",1329412048077
locale,sysinfo,,,"it_IT",1329412048077
processors,sysinfo,,,"1",1329412048080
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1329412048080
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1329412048080
java.specification.name,sysinfo,,,"Java Platform API Specification",1329412048080
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329412048080
java.specification.version,sysinfo,,,"1.6",1329412048080
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329412048080
java.version,sysinfo,,,"1.6.0_23",1329412048080
java.vm.info,sysinfo,,,"mixed mode, sharing",1329412048080
java.vm.name,sysinfo,,,"OpenJDK Client VM",1329412048080
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329412048080
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329412048080
java.vm.specification.version,sysinfo,,,"1.0",1329412048080
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329412048080
java.vm.version,sysinfo,,,"20.0-b11",1329412048080
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1329412048222
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1329412049901
started,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1329412052403
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1329412052902
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329412053025
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1329412066971
started,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1329412067792
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1329412067938
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1329412067940
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1329412068091
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329412068716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412220823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412220852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412222213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412277501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412329913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412338560
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412341610
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412349729
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412349798
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412349798
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1329412350035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412383721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412386576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329412399186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412400959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329412408487
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329412408730
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412437258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329412460409
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329412474125
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329412478011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329412503282
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1329412507475
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329412508212
